PARCEL_ID,geometry
1293497280.0,MULTIPOINT (-117.207785410014 32.8683750706306)
1293497281.0,MULTIPOINT (-117.207553696161 32.8683285007705)
1293497282.0,MULTIPOINT (-117.207318916609 32.8682906996812)
1293497283.0,MULTIPOINT (-117.207374538001 32.8698457832611)
1293497284.0,MULTIPOINT (-117.207408835488 32.8700123479418)
1293497285.0,MULTIPOINT (-117.207416981089 32.8701995599885)
1293497286.0,MULTIPOINT (-117.207562272953 32.8704303372016)
1293497287.0,MULTIPOINT (-117.208067551236 32.8701703202322)
1293497288.0,MULTIPOINT (-117.207963829425 32.8699267402805)
1293497289.0,MULTIPOINT (-117.207303288805 32.8687919945581)
1293497290.0,MULTIPOINT (-117.207300904813 32.868985966743)
1293497291.0,MULTIPOINT (-117.207300195741 32.8691572408118)
1293497292.0,MULTIPOINT (-117.207300084502 32.8693248979098)
1293497293.0,MULTIPOINT (-117.207307168613 32.8694977333819)
1293497294.0,MULTIPOINT (-117.207338162665 32.8696745105814)
1293497295.0,MULTIPOINT (-117.207894156499 32.8696154643732)
1293497296.0,MULTIPOINT (-117.207856858998 32.8694466745362)
1293497297.0,MULTIPOINT (-117.207848756319 32.8692834372657)
1293497298.0,MULTIPOINT (-117.207837549535 32.8691099449813)
1293497299.0,MULTIPOINT (-117.207841963429 32.8689354607503)
1293497300.0,MULTIPOINT (-117.207859430806 32.8687486015625)
1293497301.0,MULTIPOINT (-117.208356091238 32.870060073076)
1293497302.0,MULTIPOINT (-117.20857317664 32.8700341331681)
1293497303.0,MULTIPOINT (-117.208389600868 32.8694735434376)
1293497305.0,MULTIPOINT (-117.208630887262 32.8681715040157)
1293497306.0,MULTIPOINT (-117.208535564703 32.8680249256964)
1293497307.0,MULTIPOINT (-117.208441242084 32.8678804888462)
1293497308.0,MULTIPOINT (-117.208356531985 32.867719179668)
1293497309.0,MULTIPOINT (-117.208172763392 32.8675594938093)
1293497310.0,MULTIPOINT (-117.207813656413 32.8674957067447)
1293497311.0,MULTIPOINT (-117.207612562322 32.8676732198696)
1293497312.0,MULTIPOINT (-117.207543053867 32.8679537450066)
1293497313.0,MULTIPOINT (-117.207821934742 32.8680796442303)
1293497314.0,MULTIPOINT (-117.208037833622 32.8681806768678)
1293497315.0,MULTIPOINT (-117.208129782574 32.8683377058431)
1293497316.0,MULTIPOINT (-117.208360114117 32.8686553374005)
1293497317.0,MULTIPOINT (-117.208456864317 32.8688001976711)
1293497318.0,MULTIPOINT (-117.208555772073 32.8689474473779)
1293497319.0,MULTIPOINT (-117.208675970574 32.8690820374908)
1293497320.0,MULTIPOINT (-117.208811682478 32.8692055927827)
1293497321.0,MULTIPOINT (-117.208918664966 32.8693479102688)
1293497322.0,MULTIPOINT (-117.209048783003 32.8694843181913)
1293497323.0,MULTIPOINT (-117.20875801776 32.8695836160884)
1293497324.0,MULTIPOINT (-117.209209151007 32.8700022828835)
1293497325.0,MULTIPOINT (-117.209323892274 32.8698540868164)
1293497326.0,MULTIPOINT (-117.209460386708 32.8697274276809)
1293497327.0,MULTIPOINT (-117.209641551936 32.8695739584143)
1293497328.0,MULTIPOINT (-117.209682216739 32.8693719178296)
1293497329.0,MULTIPOINT (-117.209539955625 32.8692114895407)
1293497330.0,MULTIPOINT (-117.20938890714 32.8690870822277)
1293497331.0,MULTIPOINT (-117.209258849628 32.8689603286809)
1293497332.0,MULTIPOINT (-117.209125372686 32.8688355480611)
1293497304.0,MULTIPOINT (-117.208190213792 32.869491233116)
1293497333.0,MULTIPOINT (-117.208996945659 32.8687068849719)
1293497334.0,MULTIPOINT (-117.20889848577 32.868559864064)
1293497335.0,MULTIPOINT (-117.208798168773 32.8684132727448)
0.0,MULTIPOINT (-117.207515611413 32.8669539699495)
